River,River,River,River,River,River,River,River,River,River,Find fish,Find banana,Empty rainforest
River,River,River,River,River,River,River,River,River,River,Enemy crocodile,Empty rainforest,Basecamp
River,River,River,River,River,River,River,River,River,River,Find fish,Empty rainforest,Empty rainforest
River,River,River,River,River,River,River,River,River,River,Enemy crocodile,Enemy snake,Empty rainforest
Find fish,Enemy crocodile,Find fish,Enemy crocodile,Find fish,Enemy crocodile,Find fish,Enemy crocodile,Find fish,Enemy crocodile,Empty rainforest,Find banana,Empty rainforest
Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Find weapon,Empty rainforest,Find orange,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Find weapon,Empty rainforest,Empty rainforest,Violent storm,Violent storm,Violent storm,Violent storm,Empty rainforest,Empty rainforest,Enemy human,Empty rainforest
Empty rainforest,Empty rainforest,Find orange,Empty rainforest,Empty rainforest,Violent storm,Violent storm,Violent storm,Violent storm,Empty rainforest,Find weapon,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Violent storm,Violent storm,Violent storm,Violent storm,Enemy bear,Find banana,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Violent storm,Violent storm,Violent storm,Violent storm,Enemy snake,Empty rainforest,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Mystery cave,Enemy bear,Empty rainforest,Violent storm,Violent storm,Violent storm,Violent storm,Empty rainforest,Find orange,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Find weapon,Enemy bear,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Enemy snake,Empty rainforest,Empty rainforest,Find orange,Empty rainforest,Empty rainforest,Mystery cave,Empty rainforest,Empty rainforest,Empty rainforest,Enemy snake
Find banana,Empty rainforest,Empty rainforest,Empty rainforest,Find banana,Empty rainforest,Empty rainforest,Enemy human,Empty rainforest,Empty rainforest,Enemy human,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Enemy snake,Empty rainforest,Empty rainforest,Empty rainforest,Find weapon,Enemy human,Empty rainforest,Find weapon,Enemy human
Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Enemy bear,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest
Find banana,Empty rainforest,Enemy human,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Find weapon,Empty rainforest,Enemy human,Empty rainforest,Empty rainforest,Snakepit,Snakepit,Snakepit,Enemy bear,Empty rainforest,Empty rainforest
Find orange,Empty rainforest,Find orange,Empty rainforest,Empty rainforest,Mystery cave,Empty rainforest,Snakepit,Snakepit,Snakepit,Empty rainforest,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Snakepit,Snakepit,Snakepit,Empty rainforest,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Empty rainforest,Find banana,Empty rainforest,Empty rainforest,Empty rainforest,Snakepit,Snakepit,Snakepit,Find orange,Empty rainforest,Empty rainforest
Empty rainforest,Empty rainforest,Starting tile,Empty rainforest,Find weapon,Empty rainforest,Empty rainforest,Snakepit,Snakepit,Snakepit,Empty rainforest,Empty rainforest,Empty rainforest
Find banana,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Enemy human,Enemy bear,Snakepit,Snakepit,Snakepit,Empty rainforest,Mystery cave,Empty rainforest
Empty rainforest,Find weapon,Empty rainforest,Empty rainforest,Find orange,Empty rainforest,Find banana,Snakepit,Snakepit,Snakepit,Empty rainforest,Enemy snake,Find banana
Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Empty rainforest,Find orange,Snakepit,Snakepit,Snakepit,Empty rainforest,Empty rainforest,Empty rainforest